	Mass	Radius	Teff	logg	L	tp1	tpE 
     0.700000     0.665300      4365.16      4.63900     0.141254      2.08333      2.08333
     0.700000     0.683152      4405.55      4.61600     0.155239      2.08333      2.08333
     0.700000     0.703911      4466.84      4.59000     0.172982      2.08333      2.08333
     0.800000     0.718644      4797.33      4.63000     0.240991      2.08333      2.08333
     0.800000     0.742187      4841.72      4.60200     0.266686      2.21484      2.08333
     0.800000     0.755986      4920.39      4.58600     0.295121      2.44272      2.08333
     0.800000     0.771816      5011.87      4.56800     0.331894      2.70168      2.38983
     0.800000     0.798939      5093.31      4.53800     0.375837      3.04470      2.78334
     0.800000     0.833708      5164.16      4.50100     0.435512      3.47947      3.26541
     0.900000     0.801844      5223.96      4.58600     0.420727      2.88201      2.73269
     0.900000     0.805545      5223.96      4.58200     0.426580      2.91988      2.77408
     0.900000     0.824309      5296.63      4.56200     0.472063      3.16436      3.04637
     0.900000     0.846428      5357.97      4.53900     0.519996      3.43359      3.33868
     0.900000     0.874158      5420.01      4.51100     0.578096      6.62164      3.69549
     0.900000     0.908008      5470.16      4.47800     0.648634      7.68403      7.48055
     0.900000     0.950801      5520.78      4.43800     0.736207      8.84643      8.77655
     0.900000      1.00946      5559.04      4.38600     0.857038      10.4297      10.4690
     0.900000      1.04735      5571.86      4.35400     0.928966      11.4705      11.5741
     0.900000      1.08290      5571.86      4.32500      1.00000      12.4938      12.6936
     0.900000      1.08916      5571.86      4.32000      1.00925      12.6743      12.8800
     0.900000      1.13133      5571.86      4.28700      1.08643      13.9587      19.0476
     0.900000      1.16035      5559.04      4.26500      1.13501      19.4250      20.5255
     0.900000      1.23194      5533.50      4.21300      1.25603      23.0840      24.3309
     0.900000      1.35391      5445.03      4.13100      1.42233      28.9855      31.4465
      1.00000     0.891187      5597.57      4.54000     0.683912      6.88137      6.91276
      1.00000     0.905667      5610.48      4.52600     0.714496      7.23694      7.29395
      1.00000     0.929970      5675.45      4.50300     0.787046      7.91766      8.02826
      1.00000     0.959332      5714.79      4.47600     0.864968      8.67152      8.83704
      1.00000     0.994188      5754.40      4.44500     0.952796      9.57304      9.81547
      1.00000      1.03507      5780.96      4.41000      1.05439      10.6633      14.8017
      1.00000      1.08136      5807.64      4.37200      1.16950      15.9490      17.2176
      1.00000      1.13232      5821.03      4.33200      1.29122      18.4366      20.0562
      1.00000      1.13493      5821.03      4.33000      1.29718      18.5598      20.2265
      1.00000      1.16136      5807.64      4.31000      1.35519      19.7006      21.9010
      1.00000      1.19941      5807.64      4.28200      1.43880      21.5332      26.5816
      1.00000      1.24586      5794.29      4.24900      1.54170      23.8436      30.5250
      1.00000      1.27782      5780.96      4.22700      1.60694      25.4842      33.1345
      1.00000      1.35665      5754.40      4.17500      1.78238      31.8066      41.2541
      1.00000      1.49441      5662.39      4.09100      2.01837      42.9553      56.1167
      1.00000      1.65565      5482.77      4.00200      2.17771      53.0786      70.9220
      1.00000      1.77815      5296.63      3.94000      2.18776      57.6701      77.5194
      1.00000      1.88786      5116.82      3.88800      2.15774      58.4795      80.5153
      1.00000      2.07715      4965.92      3.80500      2.30675      71.2251      99.2064
      1.00000      2.28807      4886.52      3.72100      2.63027      96.3391      135.501
      1.00000      2.49154      4852.89      3.64700      3.01995      127.226      185.185
      1.00000      2.71312      4819.48      3.57300      3.50752      170.068      256.410
      1.00000      2.93744      4808.39      3.50400      4.05509      225.225      354.610
      1.00000      3.18764      4786.30      3.43300      4.67735      297.619      476.190
      1.00000      3.44722      4764.31      3.36500      5.40754      387.597      666.667
      1.00000      3.72794      4753.35      3.29700      6.23735      520.833      877.193
      1.10000      1.00731      5888.44      4.47500      1.06905      9.43752      13.3014
      1.10000      1.02368      5942.92      4.46100      1.15080      12.8107      14.5433
      1.10000      1.06332      5984.12      4.42800      1.27644      15.0557      17.3611
      1.10000      1.09689      6011.74      4.40100      1.38676      16.8011      21.3675
      1.10000      1.13544      6039.48      4.37100      1.50661      19.1131      25.1762
      1.10000      1.17670      6053.41      4.34000      1.62930      22.4014      29.7089
      1.10000      1.20966      6053.41      4.31600      1.72584      25.1762      33.4672
      1.10000      1.21665      6053.41      4.31100      1.74582      25.7202      34.2231
      1.10000      1.25362      6039.48      4.28500      1.84077      28.2965      38.2263
      1.10000      1.27399      6025.60      4.27100      1.89234      29.7089      40.3551
      1.10000      1.30968      6025.60      4.24700      1.98609      32.5521      44.9236
      1.10000      1.35883      6011.74      4.21500      2.11836      36.5497      51.4403
      1.10000      1.39369      5997.91      4.19300      2.20800      39.4945      56.3063
      1.10000      1.48650      5956.62      4.13700      2.45471      48.1696      70.0280
      1.10000      1.63367      5861.38      4.05500      2.77971      61.2745      92.0810
      1.10000      1.81203      5688.53      3.96500      3.04089      75.7576      116.550
      1.10000      1.94610      5482.77      3.90300      3.00608      81.6993      125.313
      1.10000      2.03313      5308.84      3.86500      2.87740      81.3008      123.457
      1.10000      2.14371      5116.82      3.81900      2.77971      82.9187      123.457
      1.10000      2.37501      4965.92      3.73000      3.01301      102.881      157.233
      1.10000      2.61315      4897.79      3.64700      3.46737      136.612      216.450
      1.10000      2.83573      4864.07      3.57600      3.98107      179.211      297.619
      1.10000      3.08081      4841.72      3.50400      4.60257      238.095      406.504
      1.10000      3.34707      4819.48      3.43200      5.32108      314.465      555.556
      1.10000      3.61547      4808.39      3.36500      6.13762      416.667      757.576
      1.10000      3.91891      4786.30      3.29500      7.07946      555.556      1041.67
      1.20000      1.14963      6237.35      4.39800      1.76198      21.9010      30.6373
      1.20000      1.20937      6280.58      4.35400      1.99986      27.2777      39.4945
      1.20000      1.27075      6295.06      4.31100      2.22331      32.9381      48.8759
      1.20000      1.27808      6295.06      4.30600      2.25424      33.6700      50.2008
      1.20000      1.33524      6280.58      4.26800      2.43781      38.8500      59.1017
      1.20000      1.40948      6223.00      4.22100      2.62422      44.8029      69.4444
      1.20000      1.47931      6137.62      4.17900      2.72898      49.0196      76.8049
      1.20000      1.54547      6025.60      4.14100      2.77332      51.5996      80.9062
      1.20000      1.58146      5984.12      4.12100      2.83139      53.7634      85.0340
      1.20000      1.58694      5984.12      4.11800      2.85102      54.4662      85.9107
      1.20000      1.62203      6053.41      4.09900      3.10456      62.8931      101.626
      1.20000      1.69067      6180.16      4.06300      3.64754      81.3008      136.612
      1.20000      1.69457      6180.16      4.06100      3.68129      82.1018      138.889
      1.20000      1.72012      6151.77      4.04800      3.74111      85.0340      143.678
      1.20000      1.77443      6095.37      4.02100      3.82825      90.0901      152.905
      1.20000      1.95461      5902.01      3.93700      4.07380      105.485      181.159
      1.20000      2.11621      5675.45      3.86800      4.09261      114.155      196.078
      1.20000      2.18303      5495.41      3.84100      3.81944      109.649      185.185
      1.20000      2.24161      5321.08      3.81800      3.53997      102.881      171.821
      1.20000      2.32841      5152.29      3.78500      3.35738      100.402      165.016
      1.20000      2.36080      5105.05      3.77300      3.34195      101.626      166.667
      1.20000      2.62156      4965.92      3.68200      3.68978      129.199      219.298
      1.20000      2.87117      4920.39      3.60300      4.24620      173.611      303.030
      1.20000      3.11932      4886.52      3.53100      4.88652      228.311      406.504
      1.20000      3.38111      4864.07      3.46100      5.62341      297.619      555.556
      1.20000      3.65645      4841.72      3.39300      6.47143      387.597      757.576
      1.20000      3.96789      4819.48      3.32200      7.48170      520.833      1041.67
      1.30000      1.27773      6531.31      4.34100      2.62422      35.9195      57.8704
      1.30000      1.35189      6546.36      4.29200      2.95801      43.8596      72.7802
      1.30000      1.35500      6546.36      4.29000      2.98538      44.3262      73.7463
      1.30000      1.43199      6531.31      4.24200      3.28852      52.7426      90.0901
      1.30000      1.52034      6471.43      4.19000      3.56451      61.9579      107.527
      1.30000      1.61600      6353.31      4.13700      3.74111      70.0280      123.457
      1.30000      1.70781      6223.00      4.08900      3.83707      76.8049      135.501
      1.30000      1.79862      6081.35      4.04400      3.87258      81.3008      143.678
      1.30000      1.84052      6025.60      4.02400      3.92645      84.1751      150.150
      1.30000      1.85114      6025.60      4.01900      3.96278      85.4701      152.905
      1.30000      1.88991      6081.35      4.00100      4.29536      96.8992      175.439
      1.30000      1.95632      6251.73      3.97100      5.14044      124.378      234.742
      1.30000      1.99269      6295.06      3.95500      5.48277      135.501      260.417
      1.30000      2.06510      6180.16      3.92400      5.48277      142.450      273.224
      1.30000      2.23841      5970.35      3.85400      5.59758      158.730      308.642
      1.30000      2.33852      5767.66      3.81600      5.33335      152.905      292.398
      1.30000      2.39850      5584.70      3.79400      4.92039      146.199      273.224
      1.30000      2.42907      5420.01      3.78300      4.47713      133.333      245.098
      1.30000      2.46854      5260.17      3.76900      4.10204      121.655      219.298
      1.30000      2.54355      5128.61      3.74300      3.94457      119.904      213.675
      1.30000      2.81152      4988.84      3.65600      4.33511      151.515      277.778
      1.30000      3.06860      4943.11      3.58000      4.95450      198.413      378.788
      1.30000      3.34149      4909.08      3.50600      5.70164      264.550      505.051
      1.30000      3.62193      4886.52      3.43600      6.56145      347.222      694.444
      1.30000      3.93043      4864.07      3.36500      7.58578      462.963      925.926
      1.30000      4.25540      4841.72      3.29600      8.72971      595.238      1282.05
      1.40000      1.38846      6839.12      4.30100      3.71535      48.5909      88.6525
      1.40000      1.39487      6839.12      4.29700      3.73250      49.1642      89.6057
      1.40000      1.47922      6823.39      4.24600      4.17830      58.4795      109.649
      1.40000      1.58319      6760.83      4.18700      4.61318      70.6215      135.501
      1.40000      1.70818      6637.43      4.12100      4.96592      85.9107      168.350
      1.40000      1.83668      6471.43      4.05800      5.21195      101.626      200.803
      1.40000      1.97030      6295.06      3.99700      5.33335      115.741      231.481
      1.40000      2.08945      6109.42      3.94600      5.35797      124.378      248.756
      1.40000      2.14799      6039.48      3.92200      5.40754      129.199      256.410
      1.40000      2.16537      6039.48      3.91500      5.47016      132.275      264.550
      1.40000      2.20563      6095.37      3.89900      5.88844      147.493      297.619
      1.40000      2.27527      6280.58      3.87200      7.07946      183.150      387.597
      1.40000      2.32291      6353.31      3.85400      7.72681      200.803      438.596
      1.40000      2.32291      6353.31      3.85400      7.78036      200.803      438.596
      1.40000      2.30958      6266.14      3.85900      7.22770      189.394      406.504
      1.40000      2.52077      6053.41      3.78300      7.49894      222.222      476.190
      1.40000      2.65786      5821.03      3.73700      7.16143      222.222      476.190
      1.40000      2.71664      5636.38      3.71800      6.54636      208.333      438.596
      1.40000      2.73233      5482.77      3.71300      5.95662      191.571      387.597
      1.40000      2.74178      5345.64      3.71000      5.39511      171.821      340.136
      1.40000      2.79275      5188.00      3.69400      4.98884      160.256      314.465
      1.40000      2.82835      5140.44      3.68300      4.93174      160.256      314.465
      1.40000      3.11912      5011.87      3.59800      5.40754      200.803      406.504
      1.40000      3.42005      4954.50      3.51800      6.22300      268.817      555.556
      1.40000      3.71563      4931.74      3.44600      7.16143      354.610      757.576
      1.40000      4.04141      4897.79      3.37300      8.26038      462.963      1041.67
      1.40000      4.37555      4875.28      3.30400      9.50605      617.284      1388.89
      1.50000      1.45886      7194.49      4.28800      5.01187      43.0663      87.7193
      1.50000      1.46897      7177.94      4.28200      5.02343      44.5633      90.5797
      1.50000      1.57766      7144.96      4.22000      5.67545      51.5996      108.225
      1.50000      1.71994      7014.55      4.14500      6.26614      70.0280      150.150
      1.50000      1.88588      6807.69      4.06500      6.74528      99.8004      216.450
      1.50000      2.07259      6591.74      3.98300      7.11213      133.333      292.398
      1.50000      2.24913      6367.95      3.91200      7.29457      163.399      362.319
      1.50000      2.41554      6137.62      3.85000      7.31139      183.150      406.504
