	Mass	Radius	Teff	logg	L	tp1	tpE
     0.700000     0.665300      4365.16      4.63900     0.141254      1.85206      1.85206
     0.700000     0.683152      4405.55      4.61600     0.155239      2.00248      1.85206
     0.700000     0.703911      4466.84      4.59000     0.172982      2.24105      1.85206
     0.800000     0.718644      4797.33      4.63000     0.240991      2.32450      1.95894
     0.800000     0.742187      4841.72      4.60200     0.266686      2.56489      2.23384
     0.800000     0.755986      4920.39      4.58600     0.295121      2.74484      2.45351
     0.800000     0.771816      5011.87      4.56800     0.331894      2.95561      2.70431
     0.800000     0.798939      5093.31      4.53800     0.375837      3.26669      3.04581
     0.800000     0.833708      5164.16      4.50100     0.435512      3.67836      3.48967
     0.900000     0.801844      5223.96      4.58600     0.420727      3.04525      2.91426
     0.900000     0.805545      5223.96      4.58200     0.426580      3.08356      2.95508
     0.900000     0.824309      5296.63      4.56200     0.472063      3.30426      3.19714
     0.900000     0.846428      5357.97      4.53900     0.519996      3.55669      3.46789
     0.900000     0.874158      5420.01      4.51100     0.578096      3.87597      3.80604
     0.900000     0.908008      5470.16      4.47800     0.648634      4.27899      4.23012
     0.900000     0.950801      5520.78      4.43800     0.736207      4.81417      4.78927
     0.900000      1.00946      5559.04      4.38600     0.857038      5.61924      5.64207
     0.900000      1.04735      5571.86      4.35400     0.928966      6.21427      6.36618
     0.900000      1.08290      5571.86      4.32500      1.00000      12.7812      13.0107
     0.900000      1.08916      5571.86      4.32000      1.00925      12.9601      13.2170
     0.900000      1.13133      5571.86      4.28700      1.08643      14.3554      19.8177
     0.900000      1.16035      5559.04      4.26500      1.13501      15.4895      21.3129
     0.900000      1.23194      5533.50      4.21300      1.25603      24.0848      25.5232
     0.900000      1.35391      5445.03      4.13100      1.42233      30.9789      37.4532
      1.00000     0.891187      5597.57      4.54000     0.683912      3.79305      3.80084
      1.00000     0.905667      5610.48      4.52600     0.714496      3.95132      3.96825
      1.00000     0.929970      5675.45      4.50300     0.787046      4.24412      4.28449
      1.00000     0.959332      5714.79      4.47600     0.864968      4.60278      4.67639
      1.00000     0.994188      5754.40      4.44500     0.952796      5.05051      5.19859
      1.00000      1.03507      5780.96      4.41000      1.05439      5.65355      11.0668
      1.00000      1.08136      5807.64      4.37200      1.16950      12.0511      17.1468
      1.00000      1.13232      5821.03      4.33200      1.29122      18.3150      19.8886
      1.00000      1.13493      5821.03      4.33000      1.29718      18.4366      20.0562
      1.00000      1.16136      5807.64      4.31000      1.35519      19.6309      21.7014
      1.00000      1.19941      5807.64      4.28200      1.43880      21.4500      26.2881
      1.00000      1.24586      5794.29      4.24900      1.54170      23.8095      30.4692
      1.00000      1.27782      5780.96      4.22700      1.60694      25.5232      33.1345
      1.00000      1.35665      5754.40      4.17500      1.78238      32.4886      41.7711
      1.00000      1.49441      5662.39      4.09100      2.01837      44.5633      58.6854
      1.00000      1.65565      5482.77      4.00200      2.17771      58.4795      78.9889
      1.00000      1.77815      5296.63      3.94000      2.18776      68.3060      92.5926
      1.00000      1.88786      5116.82      3.88800      2.15774      76.4526      103.520
      1.00000      2.07715      4965.92      3.80500      2.30675      98.6193      135.501
      1.00000      2.28807      4886.52      3.72100      2.63027      135.501      191.571
      1.00000      2.49154      4852.89      3.64700      3.01995      181.159      268.817
      1.00000      2.71312      4819.48      3.57300      3.50752      245.098      378.788
      1.00000      2.93744      4808.39      3.50400      4.05509      326.797      520.833
      1.00000      3.18764      4786.30      3.43300      4.67735      438.596      724.638
      1.00000      3.44722      4764.31      3.36500      5.40754      595.238      1041.67
      1.00000      3.72794      4753.35      3.29700      6.23735      793.651      1388.89
      1.10000      1.00731      5888.44      4.47500      1.06905      4.98703      9.89707
      1.10000      1.02368      5942.92      4.46100      1.15080      9.92654      14.1483
      1.10000      1.06332      5984.12      4.42800      1.27644      11.3533      16.3399
      1.10000      1.09689      6011.74      4.40100      1.38676      16.0720      19.3573
      1.10000      1.13544      6039.48      4.37100      1.50661      17.9986      23.2450
      1.10000      1.17670      6053.41      4.34000      1.62930      20.2511      27.0563
      1.10000      1.20966      6053.41      4.31600      1.72584      22.4014      30.4692
      1.10000      1.21665      6053.41      4.31100      1.74582      22.8938      31.2110
      1.10000      1.25362      6039.48      4.28500      1.84077      25.6805      35.0877
      1.10000      1.27399      6025.60      4.27100      1.89234      27.2777      37.2024
      1.10000      1.30968      6025.60      4.24700      1.98609      30.0842      41.4594
      1.10000      1.35883      6011.74      4.21500      2.11836      34.0136      47.6190
      1.10000      1.39369      5997.91      4.19300      2.20800      36.8732      52.2466
      1.10000      1.48650      5956.62      4.13700      2.45471      45.2899      66.1376
      1.10000      1.63367      5861.38      4.05500      2.77971      59.7372      89.6057
      1.10000      1.81203      5688.53      3.96500      3.04089      78.6164      120.773
      1.10000      1.94610      5482.77      3.90300      3.00608      91.0747      140.056
      1.10000      2.03313      5308.84      3.86500      2.87740      96.8992      147.493
      1.10000      2.14371      5116.82      3.81900      2.77971      105.485      158.730
      1.10000      2.37501      4965.92      3.73000      3.01301      140.056      216.450
      1.10000      2.61315      4897.79      3.64700      3.46737      191.571      308.642
      1.10000      2.83573      4864.07      3.57600      3.98107      256.410      427.350
      1.10000      3.08081      4841.72      3.50400      4.60257      347.222      595.238
      1.10000      3.34707      4819.48      3.43200      5.32108      462.963      833.333
      1.10000      3.61547      4808.39      3.36500      6.13762      617.284      1190.48
      1.10000      3.91891      4786.30      3.29500      7.07946      833.333      1666.67
      1.20000      1.14963      6237.35      4.39800      1.76198      18.5598      26.3296
      1.20000      1.20937      6280.58      4.35400      1.99986      23.1160      33.4672
      1.20000      1.27075      6295.06      4.31100      2.22331      27.8242      41.3565
      1.20000      1.27808      6295.06      4.30600      2.25424      28.4414      42.4088
      1.20000      1.33524      6280.58      4.26800      2.43781      32.9381      50.2008
      1.20000      1.40948      6223.00      4.22100      2.62422      38.6698      59.9520
      1.20000      1.47931      6137.62      4.17900      2.72898      43.5161      68.3060
      1.20000      1.54547      6025.60      4.14100      2.77332      47.4834      74.7384
      1.20000      1.58146      5984.12      4.12100      2.83139      50.2008      79.3651
      1.20000      1.58694      5984.12      4.11800      2.85102      50.9684      80.5153
      1.20000      1.62203      6053.41      4.09900      3.10456      57.4713      93.1099
      1.20000      1.69067      6180.16      4.06300      3.64754      71.5308      119.904
      1.20000      1.69457      6180.16      4.06100      3.68129      72.1501      121.655
      1.20000      1.72012      6151.77      4.04800      3.74111      75.4148      127.226
      1.20000      1.77443      6095.37      4.02100      3.82825      81.3008      138.889
      1.20000      1.95461      5902.01      3.93700      4.07380      101.626      175.439
      1.20000      2.11621      5675.45      3.86800      4.09261      119.048      205.761
      1.20000      2.18303      5495.41      3.84100      3.81944      121.655      208.333
      1.20000      2.24161      5321.08      3.81800      3.53997      122.549      205.761
      1.20000      2.32841      5152.29      3.78500      3.35738      127.226      210.970
      1.20000      2.36080      5105.05      3.77300      3.34195      131.234      216.450
      1.20000      2.62156      4965.92      3.68200      3.68978      177.305      297.619
      1.20000      2.87117      4920.39      3.60300      4.24620      241.546      427.350
      1.20000      3.11932      4886.52      3.53100      4.88652      320.513      595.238
      1.20000      3.38111      4864.07      3.46100      5.62341      427.350      833.333
      1.20000      3.65645      4841.72      3.39300      6.47143      574.713      1111.11
      1.20000      3.96789      4819.48      3.32200      7.48170      757.576      1666.67
      1.30000      1.27773      6531.31      4.34100      2.62422      28.1532      45.4133
      1.30000      1.35189      6546.36      4.29200      2.95801      34.2231      56.8828
      1.30000      1.35500      6546.36      4.29000      2.98538      34.6500      57.6701
      1.30000      1.43199      6531.31      4.24200      3.28852      41.3565      70.6215
      1.30000      1.52034      6471.43      4.19000      3.56451      49.4560      86.3558
      1.30000      1.61600      6353.31      4.13700      3.74111      58.2751      102.881
      1.30000      1.70781      6223.00      4.08900      3.83707      66.4011      117.371
      1.30000      1.79862      6081.35      4.04400      3.87258      73.7463      131.234
      1.30000      1.84052      6025.60      4.02400      3.92645      77.5194      138.889
      1.30000      1.85114      6025.60      4.01900      3.96278      78.9889      141.243
      1.30000      1.88991      6081.35      4.00100      4.29536      87.7193      160.256
      1.30000      1.95632      6251.73      3.97100      5.14044      106.838      203.252
      1.30000      1.99269      6295.06      3.95500      5.48277      114.943      225.225
      1.30000      2.06510      6180.16      3.92400      5.48277      125.313      241.546
      1.30000      2.23841      5970.35      3.85400      5.59758      148.810      292.398
      1.30000      2.33852      5767.66      3.81600      5.33335      154.321      297.619
      1.30000      2.39850      5584.70      3.79400      4.92039      157.233      297.619
      1.30000      2.42907      5420.01      3.78300      4.47713      152.905      282.486
      1.30000      2.46854      5260.17      3.76900      4.10204      148.810      268.817
      1.30000      2.54355      5128.61      3.74300      3.94457      154.321      273.224
      1.30000      2.81152      4988.84      3.65600      4.33511      205.761      378.788
      1.30000      3.06860      4943.11      3.58000      4.95450      277.778      520.833
      1.30000      3.34149      4909.08      3.50600      5.70164      370.370      724.638
      1.30000      3.62193      4886.52      3.43600      6.56145      490.196      1041.67
      1.30000      3.93043      4864.07      3.36500      7.58578      666.667      1388.89
      1.30000      4.25540      4841.72      3.29600      8.72971      877.193      2083.33
      1.40000      1.38846      6839.12      4.30100      3.71535      34.7947      63.6132
      1.40000      1.39487      6839.12      4.29700      3.73250      35.1617      64.3501
      1.40000      1.47922      6823.39      4.24600      4.17830      41.9815      78.9889
      1.40000      1.58319      6760.83      4.18700      4.61318      51.7598      99.8004
      1.40000      1.70818      6637.43      4.12100      4.96592      65.3595      128.205
      1.40000      1.83668      6471.43      4.05800      5.21195      81.3008      161.812
      1.40000      1.97030      6295.06      3.99700      5.33335      98.0392      196.078
      1.40000      2.08945      6109.42      3.94600      5.35797      111.857      225.225
      1.40000      2.14799      6039.48      3.92200      5.40754      119.048      238.095
      1.40000      2.16537      6039.48      3.91500      5.47016      121.655      245.098
      1.40000      2.20563      6095.37      3.89900      5.88844      133.333      273.224
      1.40000      2.27527      6280.58      3.87200      7.07946      155.763      333.333
      1.40000      2.32291      6353.31      3.85400      7.72681      166.667      370.370
      1.40000      2.32291      6353.31      3.85400      7.78036      168.350      370.370
      1.40000      2.30958      6266.14      3.85900      7.22770      163.399      354.610
      1.40000      2.52077      6053.41      3.78300      7.49894      205.761      450.450
      1.40000      2.65786      5821.03      3.73700      7.16143      222.222      476.190
